,datetime,Plant Name,Fuel Type,Cooling Type,Withdrawal [L/h],Consumption [L/h]
4356,2019-07-01 13:00:00,Plant 16,nuclear,RC,1850558.9458121995,1481585.45664976
4357,2019-07-01 14:00:00,Plant 16,nuclear,RC,1858988.5272793008,1488329.1218234408
4358,2019-07-01 15:00:00,Plant 16,nuclear,RC,1855591.8675360573,1485611.7940288456
4359,2019-07-01 16:00:00,Plant 16,nuclear,RC,1878275.79383575,1503758.9350686003
4360,2019-07-01 17:00:00,Plant 16,nuclear,RC,1924103.83980515,1540421.37184412
4361,2019-07-01 18:00:00,Plant 16,nuclear,RC,1959894.842090885,1569054.1736727082
4362,2019-07-01 19:00:00,Plant 16,nuclear,RC,1980032.0070950186,1585163.9056760152
4363,2019-07-01 20:00:00,Plant 16,nuclear,RC,1996285.8272278165,1598166.9617822529
4364,2019-07-01 21:00:00,Plant 16,nuclear,RC,2017966.108216576,1615511.1865732612
4365,2019-07-01 22:00:00,Plant 16,nuclear,RC,2030400.042637865,1625458.3341102921
4366,2019-07-01 23:00:00,Plant 16,nuclear,RC,2017966.108216576,1615511.1865732612
4344,2019-07-01 01:00:00,Plant 17,ng,RI,187100.89788941844,149950.71831153476
4345,2019-07-01 02:00:00,Plant 17,ng,RI,186318.38935764699,149324.71148611757
4346,2019-07-01 03:00:00,Plant 17,ng,RI,186473.350370249,149448.68029619922
4347,2019-07-01 04:00:00,Plant 17,ng,RI,189059.51845554492,151517.61476443594
4348,2019-07-01 05:00:00,Plant 17,ng,RI,187100.89788941844,149950.71831153476
4349,2019-07-01 06:00:00,Plant 17,ng,RI,186318.38935764699,149324.71148611757
4350,2019-07-01 07:00:00,Plant 17,ng,RI,186010.7523198367,149078.60185586938
4351,2019-07-01 08:00:00,Plant 17,ng,RI,186318.38935764699,149324.71148611757
4352,2019-07-01 09:00:00,Plant 17,ng,RI,186629.07800783654,149573.26240626923
4353,2019-07-01 10:00:00,Plant 17,ng,RI,185706.13711928064,148834.9096954245
4354,2019-07-01 11:00:00,Plant 17,ng,RI,185105.85312943027,148354.6825035442
4355,2019-07-01 12:00:00,Plant 17,ng,RI,187259.7292458543,150077.78339668346
4356,2019-07-01 13:00:00,Plant 17,ng,RI,189397.34798163702,151787.8783853096
4357,2019-07-01 14:00:00,Plant 17,ng,RI,190256.57526275245,152475.26021020196
4358,2019-07-01 15:00:00,Plant 17,ng,RI,189910.35371812983,152198.28297450388
4359,2019-07-01 16:00:00,Plant 17,ng,RI,192222.52643934678,154048.02115147747
4360,2019-07-01 17:00:00,Plant 17,ng,RI,196893.7793942886,157785.0235154309
4361,2019-07-01 18:00:00,Plant 17,ng,RI,200541.95643633846,160703.56514907078
4362,2019-07-01 19:00:00,Plant 17,ng,RI,202594.53776595742,162345.63021276594
4363,2019-07-01 20:00:00,Plant 17,ng,RI,204251.2897334125,163671.03178673
4364,2019-07-01 21:00:00,Plant 17,ng,RI,206461.1608830648,165438.92870645184
4365,2019-07-01 22:00:00,Plant 17,ng,RI,207728.5518808345,166452.84150466762
4366,2019-07-01 23:00:00,Plant 17,ng,RI,206461.1608830648,165438.92870645184
4344,2019-07-01 01:00:00,Plant 3,coal,RI,480754.9364026099,391492.74912208796
4345,2019-07-01 02:00:00,Plant 3,coal,RI,478874.7725943797,389988.61807550373
4346,2019-07-01 03:00:00,Plant 3,coal,RI,479247.1034709794,390286.4827767835
4347,2019-07-01 04:00:00,Plant 3,coal,RI,485460.99052594305,395257.5924207545
4348,2019-07-01 05:00:00,Plant 3,coal,RI,480754.9364026099,391492.74912208796
4349,2019-07-01 06:00:00,Plant 3,coal,RI,478874.7725943797,389988.61807550373
4350,2019-07-01 07:00:00,Plant 3,coal,RI,478135.6010696263,389397.28085570113
4351,2019-07-01 08:00:00,Plant 3,coal,RI,478874.7725943797,389988.61807550373
4352,2019-07-01 09:00:00,Plant 3,coal,RI,479621.27634737,390585.82107789605
4353,2019-07-01 10:00:00,Plant 3,coal,RI,477403.69023125403,388811.7521850032
