datetime,water_flow
2017-09-27,108240.22627659574
2017-09-28,101076.62776595746
2017-09-29,95221.24096774193
2017-09-30,80033.58548387098
2017-10-01,79066.91207608696
2017-10-02,74361.05758695652
2017-10-03,63315.632125000004
2017-10-04,109163.55741935484
2017-10-05,103425.68794565219
2017-10-06,120735.85563829787
2017-10-07,104866.53917045455
2017-10-08,164960.5279120879
2017-10-09,134174.38085106385
2017-10-10,174450.79468085108
2017-10-11,279357.8619354839
2017-10-12,237474.19436170213
2017-10-13,276418.6310526316
2017-10-14,340069.471875
2017-10-15,827810.2357894738
2017-10-16,1212972.3967741935
