datetime,water_discharge
2018-08-18,7781.578947368421
2018-08-19,7124.8387096774195
2018-08-20,5574.736842105263
2018-08-21,7367.311827956989
2018-08-22,8777.263157894737
2018-08-23,7801.397849462365
2018-08-24,5572.978723404255
2018-08-25,6794.8421052631575
2018-08-26,4787.391304347826
2018-08-27,3906.1702127659573
2018-08-28,6754.623655913979
2018-08-29,9585.625
2018-08-30,11352.021276595744
2018-08-31,11474.468085106382
2018-09-01,11343.020833333334
2018-09-02,11574.838709677419
2018-09-03,11434.21052631579
2018-09-04,13432.659574468085
2018-09-05,15381.91489361702
2018-09-06,17026.88172043011
2018-09-07,16214.893617021276
2018-09-08,18906.81818181818
2018-09-09,17756.989247311827
2018-09-10,15714.130434782608
2018-09-11,14258.947368421053
2018-09-12,11827.640449438202
2018-09-13,11372.395833333334
2018-09-14,11427.52688172043
2018-09-15,10284.838709677419
2018-09-16,9650.31914893617
2018-09-17,8942.340425531915
2018-09-18,7747.395833333333
2018-09-19,7356.702127659574
2018-09-20,5442.765957446809
2018-09-21,8085.1578947368425
2018-09-22,6274.270833333333
2018-09-23,5642.708333333333
2018-09-24,6160.520833333333
2018-09-25,6529.893617021276
2018-09-26,8045.0
2018-09-27,5680.520833333333
2018-09-28,6380.54347826087
2018-09-29,6867.340425531915
2018-09-30,5674.395604395604
2018-10-01,5696.526315789473
2018-10-02,7606.458333333333
2018-10-03,8524.347826086956
2018-10-04,12230.860215053763
2018-10-05,10857.157894736842
2018-10-06,13479.569892473119
2018-10-07,15301.052631578947
2018-10-08,16627.659574468085
2018-10-09,18853.191489361703
2018-10-10,19681.31868131868
2018-10-11,21318.75
2018-10-12,20006.382978723403
2018-10-13,18610.416666666668
2018-10-14,17954.736842105263
2018-10-15,16864.583333333332
2018-10-16,15616.129032258064
2018-10-17,15717.708333333334
2018-10-18,12911.627906976744
2018-10-19,11694.942528735632
2018-10-20,12695.368421052632
2018-10-21,10262.150537634408
2018-10-22,10964.68085106383
2018-10-23,10133.225806451614
2018-10-24,8865.384615384615
2018-10-25,8848.736842105263
2018-10-26,8581.075268817205
2018-10-27,7991.875
2018-10-28,8730.0
2018-10-29,8592.282608695652
2018-10-30,8297.978723404256
2018-10-31,8905.78947368421
2018-11-01,10990.0
2018-11-02,9635.425531914894
2018-11-03,9615.652173913044
2018-11-04,8931.770833333334
2018-11-05,11789.36170212766
2018-11-06,13551.612903225807
2018-11-07,15131.578947368422
2018-11-08,14978.260869565218
2018-11-09,14527.368421052632
2018-11-10,13250.526315789473
2018-11-11,12832.258064516129
2018-11-12,12317.021276595744
