obj_name,pg,hour,day,dec_scenario,gen_scenario
41,-9.947072697783928e-9,9,1,No weights,Normal
27,0.14921048948956322,9,1,No weights,Normal
42,-9.947072697783928e-9,9,1,No weights,Normal
33,0.14921048876945536,9,1,No weights,Normal
28,0.14921048949005858,9,1,No weights,Normal
26,0.14921048948858315,9,1,No weights,Normal
10,0.1492104851276855,9,1,No weights,Normal
24,0.014000009988519316,9,1,No weights,Normal
25,1.3350000133385194,9,1,No weights,Normal
23,1.5480000154685194,9,1,No weights,Normal
49,-9.951677800032049e-9,9,1,No weights,Normal
5,0.09070000065046378,9,1,No weights,Normal
31,0.9240000099885194,9,1,No weights,Normal
43,-9.947072697783928e-9,9,1,No weights,Normal
39,-9.948468698054934e-9,9,1,No weights,Normal
34,0.1492104887673587,9,1,No weights,Normal
44,-9.947072697783928e-9,9,1,No weights,Normal
17,-9.94780493834159e-9,9,1,No weights,Normal
37,-9.956326469162164e-9,9,1,No weights,Normal
47,5.691500056897281,9,1,No weights,Normal
9,0.1492104851322771,9,1,No weights,Normal
12,0.14921048510574597,9,1,No weights,Normal
20,-9.946802484279255e-9,9,1,No weights,Normal
6,0.8650000099885193,9,1,No weights,Normal
14,-9.946594748165851e-9,9,1,No weights,Normal
7,0.04700000464785113,9,1,No weights,Normal
8,0.14921048514730811,9,1,No weights,Normal
19,-9.946685832012355e-9,9,1,No weights,Normal
4,0.0453000047354136,9,1,No weights,Normal
22,0.6760000099885193,9,1,No weights,Normal
11,0.1492104851055821,9,1,No weights,Normal
35,0.1492104887708649,9,1,No weights,Normal
13,0.14921048506639364,9,1,No weights,Normal
15,-9.94645098586087e-9,9,1,No weights,Normal
16,-9.94780493834159e-9,9,1,No weights,Normal
40,-9.947072697783928e-9,9,1,No weights,Normal
46,0.14921048500391285,9,1,No weights,Normal
21,0.14921047150825276,9,1,No weights,Normal
38,-9.947289439712611e-9,9,1,No weights,Normal
45,0.14921046839398297,9,1,No weights,Normal
36,0.14921048877096274,9,1,No weights,Normal
48,-9.951677800032049e-9,9,1,No weights,Normal
18,-9.946529497476545e-9,9,1,No weights,Normal
30,0.1492104898311958,9,1,No weights,Normal
3,0.0453000047354136,9,1,No weights,Normal
32,0.05400000303646416,10,1,No weights,Normal
29,0.13255862775398936,10,1,No weights,Normal
1,0.04530000373075393,10,1,No weights,Normal
2,0.045300003730753935,10,1,No weights,Normal
41,-9.94715783113296e-9,10,1,No weights,Normal
27,0.13255862742228366,10,1,No weights,Normal
42,-9.94715783113296e-9,10,1,No weights,Normal
33,0.13255862678034155,10,1,No weights,Normal
28,0.13255862742272861,10,1,No weights,Normal
26,0.1325586274214137,10,1,No weights,Normal
10,0.13255862362674445,10,1,No weights,Normal
24,0.014000009988515303,10,1,No weights,Normal
25,1.3350000133385154,10,1,No weights,Normal
23,1.5480000154685154,10,1,No weights,Normal
49,-9.95174877323143e-9,10,1,No weights,Normal
5,0.09069999693110031,10,1,No weights,Normal
31,0.9240000099885154,10,1,No weights,Normal
43,-9.94715783113296e-9,10,1,No weights,Normal
39,-9.948549403132297e-9,10,1,No weights,Normal
34,0.1325586267784831,10,1,No weights,Normal
44,-9.94715783113296e-9,10,1,No weights,Normal
17,-9.947887734215657e-9,10,1,No weights,Normal
37,-9.956384451933014e-9,10,1,No weights,Normal
47,5.691500056897271,10,1,No weights,Normal
9,0.132558623630828,10,1,No weights,Normal
12,0.1325586236077438,10,1,No weights,Normal
20,-9.946888488415627e-9,10,1,No weights,Normal
6,0.8650000099885153,10,1,No weights,Normal
14,-9.946681424757885e-9,10,1,No weights,Normal
7,0.047000003606187606,10,1,No weights,Normal
8,0.13255862364377216,10,1,No weights,Normal
19,-9.94677221343822e-9,10,1,No weights,Normal
4,0.04530000373075397,10,1,No weights,Normal
22,0.6760000099885153,10,1,No weights,Normal
11,0.13255862360759352,10,1,No weights,Normal
35,0.13255862678159935,10,1,No weights,Normal
13,0.13255862357350215,10,1,No weights,Normal
15,-9.946538129352002e-9,10,1,No weights,Normal
16,-9.947887734215657e-9,10,1,No weights,Normal
