f_ENS,f_con_peak,f_con_tot,f_disvi_tot,f_emit,f_gen,f_with_peak,f_with_tot,dec_label,gen_scenario
-0.00018143997813472942,4.5960512734351516e7,3.154836279341886e8,0.0,78.24380915677438,4.77379282510219e6,5.729672701838735e7,3.93275166301252e8,D000532,Normal
-0.00018143997813472942,4.5960508338216156e7,3.1548347747032905e8,0.0,78.24364245256518,4.773793466317825e6,5.729672169560333e7,3.9327498423884624e8,D000533,Normal
-0.00018143997723960947,4.596050544927331e7,3.154835871844844e8,0.0,78.24376368770399,4.773792999029211e6,5.72967181983623e7,3.932751173179127e8,D000534,Normal
-0.00018143997902984936,4.5960524260836765e7,3.1548378890873986e8,0.0,78.24398942925365,4.77379212660417e6,5.729674097271463e7,3.932753606891875e8,D000535,Normal
-0.00018143997813472942,4.596049603511334e7,3.1548363729054505e8,0.0,78.24382016104718,4.773792786732798e6,5.729670679827731e7,3.9327517761019313e8,D000536,Normal
-0.00018143997723960947,4.5960481776111946e7,3.1548356773016673e8,0.0,78.24374205874535,4.77379307956323e6,5.729668953679245e7,3.932750937813806e8,D000537,Normal
-0.00018143997813472942,4.596051503274605e7,3.154834324261862e8,0.0,78.24359251879865,4.773793670171957e6,5.729672979685303e7,3.932749297442756e8,D000538,Normal
-0.00018143997813472923,3.7744748596123435e7,2.5981018242196533e8,0.0,262.56585840651235,6.731305021688578e6,4.6528667934315845e7,3.201816595971529e8,D000539,Normal
-0.0001814399772396097,4.3652135722655736e7,2.9919680898871386e8,0.0,60.12677716764327,4.846313464567921e6,5.450200658446317e7,3.7356858147062856e8,D000540,Normal
-0.0001814399772396097,4.365213571728452e7,2.991968089520811e8,0.0,60.12677720325302,4.84631346526389e6,5.450200657770486e7,3.735685814245271e8,D000541,Normal
-0.0001814399772396097,4.365213570582769e7,2.991968088761363e8,0.0,60.12677727958087,4.846313466709102e6,5.450200656329606e7,3.7356858132889414e8,D000542,Normal
-0.0001814399772396097,4.365213571528256e7,2.991968089386311e8,0.0,60.12677721658201,4.846313465515751e6,5.450200657518647e7,3.735685814075947e8,D000543,Normal
-0.00018143997813472963,4.365213510360012e7,2.9919680824401426e8,0.0,60.12677678602507,4.846313468544932e6,5.45020055080201e7,3.735685802360115e8,D000544,Normal
-0.0001814399781347296,4.3652135628625855e7,2.991968077862014e8,0.0,60.12677719029564,4.846313476988867e6,5.450200646637128e7,3.735685796933298e8,D000545,Normal
